가맹점구분번호,업종_대분류,업종,상권,도로명주소,개설일,영업기간_구간,매출구간_장기_변화율,매출구간_단기_변화율,폐업여부,매출구간_장기_변화율,매출구간_단기_변화율,장기_여성 40대 고객 비중_변화,단기_여성 40대 고객 비중_변화,장기_여성 50대 고객 비중_변화,단기_여성 50대 고객 비중_변화,장기_신규 고객 비중_변화,단기_신규 고객 비중_변화,장기_유동인구 이용 고객 비율_변화,단기_유동인구 이용 고객 비율_변화,장기_남성 60대이상 고객 비중_변화,단기_남성 60대이상 고객 비중_변화,장기_거주 이용 고객 비율_변화,단기_거주 이용 고객 비율_변화,장기_직장 이용 고객 비율_변화,단기_직장 이용 고객 비율_변화,장기_여성 20대이하 고객 비중_변화,단기_여성 20대이하 고객 비중_변화,장기_남성 40대 고객 비중_변화,단기_남성 40대 고객 비중_변화,장기_남성 20대이하 고객 비중_변화,단기_남성 20대이하 고객 비중_변화,장기_재방문 고객 비중_변화,단기_재방문 고객 비중_변화,장기_남성 50대 고객 비중_변화,단기_남성 50대 고객 비중_변화,장기_남성 30대 고객 비중_변화,단기_남성 30대 고객 비중_변화,장기_여성 60대이상 고객 비중_변화,단기_여성 60대이상 고객 비중_변화,장기_여성 30대 고객 비중_변화,단기_여성 30대 고객 비중_변화
000F03E44A,식사_그룹_0,중식-딤섬/중식만두,뚝섬,왕십리로,2022-02-25,2. 죽음의 계곡,-0.4999999999999991,0.33333333333333304,0,-0.4999999999999991,0.33333333333333304,3.8470477272727273,3.270967508417508,-23.04830070449237,7.727850274516941,3.593256851707693,-43.72543893802852,-13.200000000000003,-20.833333333333314,12.036319278369279,-3.330876594776594,10.766666666666667,17.36666666666667,2.4333333333333336,3.466666666666667,7.52915562304729,6.62358868717202,5.3883058080808075,1.3657328282828285,13.641785014560014,-5.716387546637547,38.073409814958964,60.392105604695175,-4.254767515242518,-1.0883638183638205,-16.311642585767583,-16.780104868504868,7.2252316665150005,3.9549885855552507,-6.053134312342644,3.9726049443382774
002816BA73,주점/유흥,요리주점,마장동,청계천로,2014-05-07,4. 장기/쇠퇴기,0.16666666666666652,-0.16666666666666652,0,0.16666666666666652,-0.16666666666666652,-0.0831740187323522,0.48307595302595363,0.025008572316905564,-0.17120185931852738,0.5832293455121018,4.832904756410571,0.041789475122797626,4.891041041041049,1.0937751083501084,1.8902748024748028,2.2627562960896306,4.706406406406408,-2.304545771212437,-9.597447447447447,-0.8185743873327207,0.08953971435638097,1.6211956150872808,1.1836662970496334,-2.6974618953702283,0.16517914036247472,-0.5832293455121018,-4.832904756410549,2.296029740388075,-1.6776896895730218,-0.7302052351218968,-2.1947638836472194,0.017306561064894144,0.5526471904471908,-0.7239000606500614,-0.3207276651776647
003473B465,식사_그룹_2,백반/가정식,뚝섬,서울숲길,2019-05-07,3. 성장/성숙기,0.3333333333333339,0.0,0,0.3333333333333339,0.0,-2.313144623094623,0.0,-0.21026423089756427,0.0,-4.52406494277434,0.0,0.0,0.0,-5.0194656898990235,-3.3333333333333335,0.0,0.0,0.0,0.0,-1.6757307754807753,0.0,12.831680066630064,4.450000000000003,-6.298497898747899,0.0,-3.8092683905589837,16.666666666666657,-0.4984277944611278,0.0,7.6513779831446485,-1.11666666666666,-0.28648740772074105,0.0,-4.181039629472963,0.0
003AC99735,카페/디저트,커피전문점,답십리,용답중앙,2019-10-17,3. 성장/성숙기,0.0,-0.16666666666666652,0,0.0,-0.16666666666666652,-0.5421673182173166,-0.5471000686500682,0.7744124723624708,0.3005980294480306,0.06296761013272345,-1.5105815794323494,-1.8958784625451344,-0.2241434574767851,1.1606249749916415,0.4642885959719285,2.9884842051508684,0.8187658687658654,-1.0926057426057412,-0.5946224112890803,-1.9129378100878096,-1.7018382829882839,-0.43111784673451403,0.007366662249992828,-2.2509902288402284,-1.373812109328778,-0.06296761013271635,1.5105815794323547,1.4268447038947034,1.2265687977187998,0.8196383966883953,1.3755880533880518,0.7314664837664844,0.09982815147815183,0.22422617217617358,0.14851217071216993
0041E4E5AE,식사_그룹_2,한식-찌개/전골,답십리,용답중앙,2018-01-15,3. 성장/성숙기,0.16666666666666652,0.33333333333333304,0,0.16666666666666652,0.33333333333333304,-0.5742794408544416,-0.3476209171375846,-0.6172642121808778,-0.12018095894762659,-2.2041445189692404,0.48101793346756594,1.3989924323257696,4.374891774891765,1.3131362665696003,1.1591355932355931,0.2698246864913507,-1.4777888777888748,-1.6688171188171186,-2.897102897102897,-0.6922224417391094,-0.31928028698028665,-0.8940361107944437,-0.45519300234300175,-1.1338271926438583,-0.35046673276673346,2.204144518969244,-0.4810179334675837,-0.807203570620235,0.26605178815178476,2.3219306074889428,0.030472353722352352,0.3666181298514637,0.32135095391762114,0.7171479649229653,-0.18426879085212544
0050D68B18,주점/유흥,룸살롱/단란주점,성수,아차산로,2023-05-31,2. 죽음의 계곡,-0.41666666666666696,-0.6666666666666665,0,-0.41666666666666696,-0.6666666666666665,-2.8781327790589977,-4.517622294372293,-6.024369751385604,-6.048018781218782,-26.24430483745202,5.740752413974249,8.474021415688078,-1.4190523857190485,-0.33884282093813667,6.8878846653346635,5.947695040539106,-0.3738071404738008,-7.0105767272433965,1.79285952619286,-5.825399999999999,0.0,6.474105626413468,-3.084059357309357,0.0,0.0,32.83356510846822,-5.740752413974263,11.405962507178543,10.654861938061941,0.1630430474332627,-0.8586872460872463,-1.1432170834811073,-2.096242973692974,-1.4585487461614288,-0.9381159507159507
00646B6673,식사_그룹_2,한식-냉면,왕십리,고산자로,2022-01-06,2. 죽음의 계곡,-0.25,-0.5,0,-0.25,-0.5,-2.6640945797779114,1.1368577991077995,-1.691044418469417,-0.3834908770742107,-13.24209049329852,1.4783427327998453,-3.196261004594337,-3.6111111111111143,1.8036328226911547,0.5716472824139487,3.812727687727687,3.193626960293628,-0.616466683133349,0.4174841508174829,0.17423850867184187,-0.03230857327524017,-0.2873662300162305,0.1136834514334506,0.5287290276290273,-0.31787744357744385,13.24209049329852,-1.478342732799831,-0.03143968734802094,-1.30083444058444,1.6281107337107308,-0.9499521830188495,1.0198522841272828,1.0290157849157842,-0.4806184612184623,0.1332591996591983
0074C4990A,비외식소매,축산물,마장동,마장동,2014-05-12,4. 장기/쇠퇴기,-0.25,0.16666666666666652,0,-0.25,0.16666666666666652,1.0434767992018,1.0703097276763955,-0.9156816265399588,1.6626237557237555,9.02879115367167,9.982597058257216,-4.185452993786328,-2.5,-0.6425326289826252,-3.159149682099681,7.050921392588059,3.2166666666666686,-2.8654683988017315,-0.716666666666667,0.25641324153824163,0.6452162736829399,0.22994032421532484,-1.1253429660429655,0.020636993845327023,-0.0968826753493417,-9.02879115367169,-9.982597058257227,-1.913469510944509,-2.0703902301568977,-0.2112418448001776,-1.2815677796844458,2.0085666366833053,4.493633649916987,0.12389161578328256,-0.1384500736667409
007BE37BA2,식사_그룹_2,한식-단품요리일반,성수,연무장,2021-10-13,2. 죽음의 계곡,-0.08333333333333304,0.0,0,-0.08333333333333304,0.0,-1.2617408847908846,-0.15332312687312655,-0.8376691883775216,-0.44342296037296025,8.492909982312739,-3.124531220072555,-4.10976523476522,0.81738261738262,0.31217193028026363,0.022168048618048664,4.603787878787879,0.5156343656343658,-0.4940226440226443,-1.333016983016984,-13.16534384196051,-1.5480172327672292,1.0771644252144252,0.16864114219114157,5.306106874390206,0.8065420412920403,-8.492909982312739,3.124531220072548,0.8284348874765541,-0.10740954045954032,6.6177885493052155,1.1767249750249746,0.054277952836286225,-0.03906781551781535,1.068809295625961,0.11716446886447329
0080644746,주점/유흥,요리주점,뚝섬,왕십리로,2015-05-15,4. 장기/쇠퇴기,3.5833333333333335,0.0,0,3.5833333333333335,0.0,-0.4023293551515268,-1.0322763352706792,-0.7956126022931072,-1.1455361796805232,-50.62134772141493,0.0,6.044605789819158,0.0,0.18552772409439078,-0.4582511156844489,-2.5005880934081635,0.0,-3.544017696411008,0.0,-4.630568366010131,1.3583990267321582,0.750625833371414,-0.5230330435252171,2.4828635618709782,5.337820556618713,50.621347721414935,0.0,0.38615071623648145,-0.6247061770846472,2.8883093235481905,-0.22820923541483928,-0.010352798919465389,-0.49164961754961756,-0.8546140367472184,-2.19255787914091
00A2CF886A,주점/유흥,일반 유흥주점,왕십리,왕십리로,2016-02-29,4. 장기/쇠퇴기,0.16666666666666652,0.3333333333333335,0,0.16666666666666652,0.3333333333333335,-0.7956360205026871,-0.3489205038205041,-0.7022675043091708,-0.19780153345153373,-7.338965892442523,-2.1514831203155538,-1.9235735735735773,10.70301968635303,-1.3130776769360093,0.6193414292914294,6.073907240573909,-10.934084084084088,-4.150333667000334,0.2310643977310649,-1.5632313387230048,-0.2580984709484708,5.35981941801942,3.232354603921266,-2.6031300693050667,0.8579988375155025,7.338965892442523,2.1514831203155467,2.7925408945825634,1.746668698985367,1.4888474336391013,-4.139696903046904,-0.6128316823066822,-0.05302521297521323,-2.051033454158454,-1.4588209454709462
00BC189C4B,식사_그룹_1,한식-해물/생선,뚝섬,성수,2003-02-21,4. 장기/쇠퇴기,0.08333333333333348,-0.33333333333333304,0,0.08333333333333348,-0.33333333333333304,1.4330907650324312,0.31964113255779747,0.6850897180480509,-0.37598552455219014,6.746275138256518,7.934559287669565,-3.7999846916513604,-4.857444140777474,-0.8797158326658341,-0.41651626846626755,-0.8620477537144211,-4.62722832722833,4.6620324453657815,9.484672468005801,-1.3590470240303576,0.04221358268024944,2.4301573315489993,2.0435555973055983,-4.00965692800693,0.4732355994355988,-6.746275138256522,-7.934559287669572,0.4201571955321928,0.35576513766513784,0.28072490025823527,-0.7727067326067285,0.1762790958957634,-0.6704542351709026,0.8229207783874433,-0.9987482888482884
00CEAAD71A,주점/유흥,포장마차,왕십리,왕십리로,2015-11-04,4. 장기/쇠퇴기,-0.25,0.3333333333333335,0,-0.25,0.3333333333333335,0.32663605433605447,0.5493225418725416,-1.9577248029498024,0.5708568067068063,-5.442398667133723,-12.22069904590883,-6.532176157176153,-6.352680652680654,-2.4396425107508453,0.86021388981389,4.627580752580748,15.706976356976355,1.9045954045954065,-9.354295704295701,-1.1673268747935417,-0.43260790085790113,4.791005538305537,1.6463073537573543,-1.6059332151332146,-1.8026446177279514,5.44239866713373,12.220699045908816,-1.0312879360629381,1.7076892718392642,4.41919145697479,-2.7615658976825586,-1.3587267542850876,0.2885511089511088,0.023809044359044407,-0.6261225566725557
00DA1813DE,비외식소매,청과물,금남시장,독서당로,2019-09-05,3. 성장/성숙기,0.08333333333333304,0.16666666666666607,0,0.08333333333333304,0.16666666666666607,-2.351114532572865,-3.246075481708816,-8.317428624511958,-6.551306679006679,-11.089530872332652,-8.333333333333332,0.0,0.0,11.619305218596885,15.957894273927607,0.0,0.0,0.0,0.0,-2.6843048674215337,-1.9647233456733453,3.7416323397573388,7.4053442743109406,1.02611787590121,3.6123721933221953,2.7561975389993165,-8.333333333333329,-4.598249191165858,-3.4677111400111396,2.744527090243756,2.9087670651170665,-1.2018311844561858,-11.55754550691217,0.02134587562920931,-3.097015653365653
00F54829E1,카페/디저트,카페,왕십리,왕십리로,2022-06-30,2. 죽음의 계곡,-0.16666666666666652,0.0,0,-0.16666666666666652,0.0,-0.6488599227349248,0.016940136140135564,0.7223197773947767,-1.5412912517579187,-2.382851333769075,2.174218540985702,-3.9348174181507503,-3.124175824175822,1.3666104373021035,0.6471656054322725,5.535860210860207,1.5081418581418475,-1.6010427927094595,1.6160339660339655,-4.100057991299659,-0.8066517263850592,0.2243532898949585,0.8667102141768819,-2.0803176724093415,0.3059513923513908,2.382851333769068,-2.1742185409857058,0.9167905533822189,-0.475659698526365,1.3975633918300563,1.0391658198991536,1.6773080149496824,0.4532850450183785,0.5242901216901181,-0.5056155363488628
00F733C995,식사_그룹_1,한식-육류/고기,성수,아차산로,2021-03-17,3. 성장/성숙기,-0.08333333333333326,0.0,0,-0.08333333333333326,0.0,1.4947250892084227,0.5811702869702859,1.0873491372241366,0.3127742671909344,0.27972154360115553,2.0432620512470088,-3.5215353715353714,0.20420058753393278,0.10202108836275503,-0.4957031579198241,1.6492670826004172,-1.521350921350919,1.8722682889349613,1.317150333816997,1.672960412085411,0.06748491975159077,-1.113274816091483,0.3654501263167944,-1.9661713136296495,-0.4380140902807561,-0.27972154360115553,-2.0432620512470123,-0.5302291634374976,0.15151138042804924,-3.2673457952041325,-0.44991092521092213,0.7309515362765353,-0.27209594321261,1.7890138252054921,0.17733313596647093
00FDB35E9C,카페/디저트,카페,한양대,마조로,2019-01-29,3. 성장/성숙기,-0.08333333333333304,0.0,0,-0.08333333333333304,0.0,0.30329202525035903,0.11804660804660827,-0.2294519476936152,-0.6282058884892212,3.56324020789571,-1.2480347405667054,-8.893209418209409,-4.174741408074745,-0.7360630651047317,-0.22585553005553005,6.956809081809091,3.176092759426105,1.9364003364003377,0.9986486486486505,-2.3393118632618624,-0.6617321231987852,0.33469014606514635,-0.07278134611468001,-1.1376308803475474,-1.2606257491590789,-3.563240207895717,1.248034740566709,-0.06578293087459786,-0.6264458328291651,2.27978673026173,1.2023751248251244,-1.0539133748717082,-0.2420281878281878,2.6443851605768245,2.3972529248029275
011E53BB76,식사_그룹_2,백반/가정식,왕십리,왕십리로,2017-10-24,3. 성장/성숙기,0.08333333333333326,-0.16666666666666652,0,0.08333333333333326,-0.16666666666666652,0.5086006130006133,0.4283057735724398,0.2997068706652062,0.043882557182557846,0.2003875735720051,0.7140791431411486,-2.200631500631502,-1.3135497635497586,0.5945153398903402,0.20455945599278813,2.9507091090424495,0.899483266149943,-0.7500776084109422,0.4140664973998307,-1.4068857887941215,-0.6796710257543586,0.4449296405296419,0.5714684428684418,-0.8949219380136046,-0.3533164238997575,-0.20038757357200154,-0.7140791431411628,0.2639047679464346,0.2061115094781769,-0.19176114368614527,-0.04548965110631897,0.819721141012808,0.09528592718592854,-0.4378095025511648,-0.4711365655198989
012A64A73B,주점/유흥,포장마차,왕십리,마장로,2018-11-02,3. 성장/성숙기,-0.33333333333333304,0.16666666666666652,0,-0.33333333333333304,0.16666666666666652,1.2104066900990054,1.0696914418914414,2.0175445109035417,1.8293603063603063,-2.054109870310864,-4.227321327162468,3.2441774691774796,-2.8254941254941244,0.2248048390340296,0.21846303696303782,0.13915883082549385,2.6437151437151414,-3.383336300002968,0.181778981778983,-0.6308414245835401,0.5490846986346991,1.9081565825061837,-0.9524919746919771,-2.3096435148534944,-0.4160344155844147,2.0541098703108673,4.227321327162485,4.07863133642001,1.4193409923409916,-5.118615909773396,-3.8192776390276393,0.21364204447273338,0.4311040626040623,-1.5940851542250751,-0.32924050949051065
014A6A2154,식사_그룹_2,백반/가정식,왕십리,마장로,2023-10-16,1. 초기 안정화,0.16666666666666696,0.3333333333333339,0,0.16666666666666696,0.3333333333333339,2.8168184794101467,-4.440606863406864,4.3270494559161214,-1.6329148706482037,-57.65219891179781,-13.455555138601813,25.686111111111117,30.57777777777778,16.3033349026599,8.901026787876784,40.974341823957005,-33.355555555555554,-22.91388888888889,2.7777777777777795,-30.913014273647608,-1.9122309489476155,5.458455404197071,-1.5894799833466484,1.089300966342633,-1.3374042840209501,54.25487290365662,13.455555138601795,7.929587067387066,6.192250146650148,-0.2086956829290163,2.2169406661739997,1.6592462515879234,-7.248559102075767,-0.03319560896227569,0.8509784517451184
