가맹점구분번호,업종_대분류,상권,영업기간_구간,매출구간_단기_변화율,매출구간_장기_변화율,23_24_유니크고객수_변화,23_24_동일 업종 매출금액 비율_변화,장기_신규 고객 비중_변화,단기_여성 40대 고객 비중_변화,단기_거주 이용 고객 비율_변화,23_24_동일 업종 매출건수 비율_변화,장기_남성 60대이상 고객 비중_변화,장기_재방문 고객 비중_변화,단기_남성 50대 고객 비중_변화,단기_재방문 고객 비중_변화,23_24_동일 상권 내 매출 순위 비율_변화,23_24_동일 업종 내 매출 순위 비율_변화,단기_남성 60대이상 고객 비중_변화,장기_남성 20대이하 고객 비중_변화,단기_유동인구 이용 고객 비율_변화,단기_남성 40대 고객 비중_변화,단기_신규 고객 비중_변화,매출금액_안정성_지수,23_24_객단가_변화,장기_여성 60대이상 고객 비중_변화,단기_여성 50대 고객 비중_변화,단기_남성 30대 고객 비중_변화,장기_직장 이용 고객 비율_변화,폐업여부
000F03E44A,식사_그룹_0,뚝섬,2. 죽음의 계곡,0.333333333333333,-0.4999999999999991,-0.333333333333333,3.0,3.593256851707693,3.270967508417508,17.36666666666667,3.925,12.03631927836928,38.07340981495896,-1.0883638183638205,60.392105604695175,-6.775000000000006,-4.349999999999994,-3.330876594776594,13.641785014560014,-20.833333333333314,1.3657328282828285,-43.72543893802852,0.3450327796711771,-0.916666666666667,7.225231666515,7.727850274516941,-16.780104868504868,2.4333333333333336,0
002816BA73,주점/유흥,마장동,4. 장기/쇠퇴기,-0.1666666666666665,0.1666666666666665,0.1666666666666665,-10.208333333333345,0.5832293455121018,0.4830759530259536,4.706406406406408,-4.9666666666666615,1.0937751083501084,-0.5832293455121018,-1.6776896895730218,-4.832904756410549,-2.5666666666666664,-1.583333333333332,1.8902748024748028,-2.6974618953702283,4.891041041041049,1.1836662970496334,4.832904756410571,0.1781741612749496,-0.0833333333333334,0.0173065610648941,-0.1712018593185273,-2.1947638836472194,-2.304545771212437,0
003473B465,식사_그룹_2,뚝섬,3. 성장/성숙기,0.0,0.3333333333333339,0.333333333333333,-2.125,-4.52406494277434,0.0,0.0,-1.0916666666666666,-5.019465689899024,-3.809268390558984,0.0,16.666666666666657,14.474999999999994,12.63333333333334,-3.333333333333333,-6.298497898747899,0.0,4.450000000000003,0.0,0.308606699924184,1.166666666666667,-0.286487407720741,0.0,-1.11666666666666,0.0,0
003AC99735,카페/디저트,답십리,3. 성장/성숙기,-0.1666666666666665,0.0,0.0,20.999999999999943,0.0629676101327234,-0.5471000686500682,0.8187658687658654,55.258333333333326,1.1606249749916415,-0.0629676101327163,1.2265687977187998,1.5105815794323547,-0.1416666666666675,-0.4833333333333338,0.4642885959719285,-2.2509902288402284,-0.2241434574767851,0.0073666622499928,-1.5105815794323494,0.2954684201426394,0.583333333333333,0.7314664837664844,0.3005980294480306,1.3755880533880518,-1.0926057426057412,0
0041E4E5AE,식사_그룹_2,답십리,3. 성장/성숙기,0.333333333333333,0.1666666666666665,0.0833333333333332,-11.71666666666664,-2.2041445189692404,-0.3476209171375846,-1.4777888777888748,-2.25,1.3131362665696005,2.204144518969244,0.2660517881517847,-0.4810179334675837,-0.1999999999999993,-0.4749999999999996,1.1591355932355931,-1.1338271926438583,4.374891774891765,-0.4551930023430017,0.4810179334675659,0.2357022603955157,-0.083333333333333,0.3666181298514637,-0.1201809589476265,0.0304723537223523,-1.6688171188171186,0
0050D68B18,주점/유흥,성수,2. 죽음의 계곡,-0.6666666666666665,-0.4166666666666669,-0.083333333333333,-33.041666666666686,-26.24430483745202,-4.517622294372293,-0.3738071404738008,-0.3416666666666685,-0.3388428209381366,32.83356510846822,10.65486193806194,-5.740752413974263,-19.07916666666668,-23.445833333333333,6.887884665334664,0.0,-1.4190523857190485,-3.084059357309357,5.740752413974249,0.7057023969180444,-0.625,-1.1432170834811073,-6.048018781218782,-0.8586872460872463,-7.0105767272433965,0
00646B6673,식사_그룹_2,왕십리,2. 죽음의 계곡,-0.5,-0.25,-0.0833333333333334,7.833333333333329,-13.24209049329852,1.1368577991077995,3.193626960293628,19.183333333333337,1.8036328226911549,13.24209049329852,-1.30083444058444,-1.478342732799831,0.0,-13.450000000000005,0.5716472824139487,0.5287290276290273,-3.6111111111111134,0.1136834514334506,1.4783427327998453,0.3535533905932737,-0.0833333333333334,1.0198522841272828,-0.3834908770742107,-0.9499521830188496,-0.616466683133349,0
0074C4990A,비외식소매,마장동,4. 장기/쇠퇴기,0.1666666666666665,-0.25,0.083333333333333,-104.725,9.02879115367167,1.0703097276763955,3.216666666666669,4.166666666666671,-0.6425326289826252,-9.02879115367169,-2.0703902301568977,-9.982597058257229,3.1916666666666664,9.975,-3.159149682099681,0.020636993845327,-2.5,-1.1253429660429657,9.982597058257216,0.7440238091428449,-0.1666666666666667,2.0085666366833053,1.6626237557237555,-1.2815677796844458,-2.8654683988017315,0
007BE37BA2,식사_그룹_2,성수,2. 죽음의 계곡,0.0,-0.083333333333333,0.1666666666666665,63.71666666666667,8.492909982312739,-0.1533231268731265,0.5156343656343658,-17.57499999999999,0.3121719302802636,-8.492909982312739,-0.1074095404595403,3.124531220072548,1.25,-1.5249999999999997,0.0221680486180486,5.306106874390206,0.81738261738262,0.1686411421911415,-3.124531220072555,0.3303437363217048,-0.4166666666666665,0.0542779528362862,-0.4434229603729602,1.1767249750249746,-0.4940226440226443,0
0080644746,주점/유흥,뚝섬,4. 장기/쇠퇴기,0.0,3.583333333333333,2.9166666666666665,-207.50833333333333,-50.62134772141493,-1.0322763352706792,0.0,-178.13333333333333,0.1855277240943907,50.621347721414935,-0.6247061770846472,0.0,22.308333333333337,30.25833333333333,-0.4582511156844489,2.4828635618709782,0.0,-0.5230330435252171,0.0,1.9267333980864056,3.333333333333333,-0.0103527989194653,-1.1455361796805232,-0.2282092354148392,-3.544017696411008,0
